33 20.880, -117 34.050, San Onofre Kelp
33 17.290, -117 34.150, Box Canyon rockfish area
33 17.015, -117 29.475, Barn Kelp
33 14.300, -117 27.300, Clam Beds
33 14.400, -117 26.270, Golf Ball
33 10.340, -117 22.700, Buccaneer Pipe
33 08.060, -117 20.860, Encina Powerplant Pipe
33 07.490, -117 20.440, Terramar Kelp
33 07.500, -117 21.400, Carlsbad Canyon
33 06.770, -117 20.100, Anderson Pipe
33 05.235, -117 19.183, Ponto
33 04.100, -117 20.600, Leucadia rockfish area
33 03.775, -117 18.750, Beacons
33 03.130, -117 20.920, Encinitas rockfish area
32 59.410, -117 17.300, Solana Beach Kelp
32 57.564, -117 16.743, Powerhouse Kelp
32 57.191, -117 17.981, Del Mar rockfish area
32 54.755, -117 15.755, Flat Rock
34 22.000, -121 04.000, Arguello Canyon
34 13.000, -119 41.017, 12 Mile Reef
34 07.200, -120 55.200, Davis Knoll
34 02.800, -121 03.000, Rodriguez Seamount
33 56.600, -121 00.000, San Miguel Gap
33 47.500, -118 32.000, 307
33 43.833, -118 42.333, The Boot (504)
33 43.800, -119 16.000, 170
33 43.800, -119 09.733, Hidden Reef
33 41.000, -118 34.500, 270
33 37.000, -120 16.000, 311 (Trask Knoll)
33 36.850, -118 57.117, 175
33 36.850, -118 57.117, 175
33 34.500, -118 36.000, 286
33 34.467, -119 00.850, Kidney Bank (63)
33 30.200, -118 50.500, 172
33 30.000, -120 30.000, Patton Ridge
33 29.000, -118 42.500, 125
33 24.700, -118 13.500, Avalon Bank
33 23.833, -118 00.000, 14 Mile Bank
33 21.600, -119 02.500, Osborn Bank
33 17.800, -117 49.150, 279 / 267
33 17.800, -117 49.150, 279 / 267
33 17.000, -118 14.667, The Slide
33 16.500, -118 44.500, 499
33 15.000, -119 49.600, Potato Bank
33 14.800, -118 10.833, 152
33 12.000, -118 04.800, 277
33 09.500, -118 55.000, 474
33 08.000, -119 03.000, 711
33 08.000, -120 22.000, Sverdrup Bank (126)
33 05.750, -117 52.350, 209
33 03.800, -120 58.600, San Juan Seamount
33 02.200, -118 23.600, Mackerel Bank
33 01.417, -117 48.500, 312
32 58.000, -119 56.833, Albatross Knoll
32 56.000, -118 05.700, 289
32 54.500, -118 05.000, 284
32 54.000, -117 53.000, 181
32 54.000, -117 18.800, La Jolla Canyon
32 52.000, -119 24.800, Cherry Banks
32 49.500, -117 49.500, 51
32 48.750, -117 49.333, 138
32 48.750, -117 49.333, 138
32 43.167, -118 24.367, 81
32 43.167, -117 47.167, 140
32 42.000, -117 29.317, 178
32 42.000, -119 08.000, Tanner Bank
32 41.300, -117 42.400, 182
32 41.000, -118 36.500, 381
32 39.333, -117 58.417, 43
32 39.000, -117 43.700, 166
32 38.000, -117 26.000, North 9 Mile Bank
32 37.600, -117 49.400, The Corner
32 36.800, -117 56.350, 91
32 35.750, -118 00.500, 300
32 34.100, -119 41.967, Hancock Bank
32 32.000, -117 21.000, South 9 Mile Bank
32 30.000, -118 41.000, 267 (The Condom)
32 29.667, -117 38.000, 226
32 29.500, -117 24.000, 439
32 26.417, -119 07.833, Cortes Bank
32 26.333, -117 34.750, 302 (Kidney Bank)
